,url,type
601,press24.us,unknown
602,presstv.com,bias
603,presstv.ir,bias
604,prisonplanet.com,conspiracy
605,prisonplanet.com,conspiracy
606,prisonplanet.tv,conspiracy
609,progressivestoday.com,bias
610,projectveritas.com,bias
612,proudemocrat.com,political
613,PublicIntelligence.net,unknown
614,qpolitical.com,bias
615,randpaulreview.com,unknown
616,rawforbeauty.com,junksci
617,rawstory.com,political
618,rawws.com,unknown
619,rbth.com,unknown
621,readconservatives.news,bias
622,readynutrition.com,unknown
623,reagancoalition.com,bias
624,realfarmacy.com,junksci
626,realplanetnews.com,junksci
627,realprogress.online,unknown
628,realtimepolitics.com,bias
630,redflagnews.com,bias
631,RedIceCreations.com,unknown
633,redstate.com,political
634,redstatewatcher.com,bias
635,reductress.com,satire
636,regated.com,bias
637,religionlo.com,satire
639,remedydaily.com,clickbait
640,rense.com,conspiracy
641,resistancereport.com,political
642,responsibletechnology.org,junksci
643,returnofkings.com,hate
644,revolutions2040.com,junksci
647,rightalert.com,bias
648,righton.com,unknown
649,RightSideNews.com,unknown
650,rightwingnews.com,bias
652,rinf.com,political
653,rockcitytimes.com,satire
655,ronpaulinstitute.org,political
657,rumormillnews.com,conspiracy
658,ruptly.tv,political
659,russia-direct.org,unknown
660,russia-insider.com,bias
661,satiratribune.com,satire
662,satirewire.com,satire
663,scrappleface.com,satire
664,secretsofthefed.com,conspiracy
665,sensationalisttimes.com,satire
666,sentinelblog.com,conspiracy
667,sgtreport.com,unknown
668,shadowproof.com,unknown
669,ShadowStats.com,unknown
670,shareblue.com,unreliable
671,sheepkillers.com,conspiracy
672,shiftfrequency.com,unknown
673,shoebat.com,conspiracy
674,shtfplan.com,unknown
675,silentmajoritypatriots.com,unknown
676,Silver-Coin-Investor. com,conspiracy
677,SilverBearCafe.com,conspiracy
678,SilverDoctors.com,conspiracy
679,SilverStealers.net,conspiracy
680,SJLendman.Blogspot.com,bias
681,skeptiko.com,conspiracy
683,smartknowledgeu.com/blog,unknown
685,solari.com/blog,unknown
686,sonsoflibertyradio.com,conspiracy
687,sott.net,unknown
688,sourceplanet.net,unknown
689,southfront.org,unknown
690,southweb.org,unknown
691,SovereignMan.com,unreliable
692,speciallifeentertainment.com,unknown
693,speld.nl,satire
694,spinzon.com,unknown
695,sportspickle.com,satire
696,sputniknews.com,bias
697,SRSroccoReport.com,unknown
698,statenation.co,unknown
699,STAWealth.com,unknown
700,SteveQuayle.com,unknown
701,stneotscitizen.com,satire
703,strategic-culture.org,unknown
704,stuppid.com,satire
707,suggesthealthytips.com,unknown
708,superstation95.com,unknown
710,surenews.com,unknown
711,surrealscoop.com,satire
712,SurvivalBlog.com,unknown
713,SurvivalKnowHow.net,unknown
714,survivopedia.com,unknown
